ICORG,CISLOFA,ICDOD,DODAVATEL,UCELPLATBY,CASTKA,DATVYST,DATSPLAT,PLOZKA,UCETNIID,POZN
66003008,2023489,311391,"CENDIS, s.p.","Podpora IFS2, 10/2023",26998.13,2023-11-15,2024-01-26,5168,FD2302458,
66003008,123033,7183887,VILPPU s.r.o.,propagace informační kampaně BESIP - propůjčení jména a tváře Filipa Blažka a jeho kreditu v cílové skupině pro komunikační prvky kampaně a spolupráce na komunikačních aktivitách objednatele,157300,2023-12-08,2024-01-17,5169,FD2302795,
66003008,7302300626,47547022,CHAPS spol.s.r.o.,Poskytování služeb - zajíštění řádného provozu za 11/2023,21380.70,2023-12-05,2024-01-05,5168,FD2302799,
66003008,5118588527,47114983,"Česká pošta, s.p.",poštovní služby - balík do ruky,635,2023-12-11,2024-01-11,5161,FD2302871,
66003008,2023560,311391,"CENDIS, s.p.",Poskytování služeb projektové a architektonické kanceláře,977776.80,2023-12-15,2024-01-25,5168,FD2302904,
66003008,231001,49558897,"'Nadace Doktora Leopolda Prečana, arcibiskupa olomouckého, k podporování Arcibiskupského kněžského s",nájem pozemku - Kojetín 1.1.2023 -31.12.2023,50237,2023-12-13,2024-01-17,5164,FD2302926,
66003008,1122023,27174140,"Utilis, s.r.o.",překlad z ČJ do AJ,4650,2023-12-18,2024-01-17,5169,FD2302937,
66003008,41233831,27373665,OKsystem a.s.,OKbase - Metodická a poradenská činnost při zpracování mzdové uzávěrky v období 4/2023-11/2023,77440,2023-12-19,2024-01-19,5166,FD2302938,
66003008,40301658,61058297,Active Radio a.s.,Odvysílání komunikačních prvků,114768.50,2023-12-19,2024-01-26,5169,FD2302941,
66003008,332023,70932310,"Základní škola a Mateřská škola Na Výsluní, Uherský Brod, příspěvková organizace",dopravní výuka ZŠ na DDH Uherský Brod za 12/2023,15400,2023-12-19,2024-01-18,5169,FD2302943,
66003008,3120003491,61328952,"MSV Liberec, s.r.o.",Servisní práce nákladních výtahů 4.Q/ 2023,5320,2023-12-19,2024-01-18,5169,FD2302946,
66003008,231012,29023033,KO-OR.construction s.r.o.,Oprava uchycení reproduktorů,16940,2023-12-18,2024-01-19,5171,FD2302947,
66003008,2122023,27174140,"Utilis, s.r.o.",překlad z ČJ do AJ,3250,2023-12-20,2024-01-19,5169,FD2302950,
66003008,232069,25854372,ai5 s.r.o.,Vypracování výkresové dokumentace jednacích místností č.82/1P a č.84/1P,25410,2023-12-20,2024-01-19,5166,FD2302951,
66003008,232070,25854372,ai5 s.r.o.,Vypracování kvalifikovaného odhadu nákladů pro VZ,12100,2023-12-20,2024-01-19,5166,FD2302952,
66003008,2023320,70944652,"Základní škola a mateřská škola Ostrava-Hrabůvka, A. Kučery 20, příspěvková organizace",dopravní výuka ZŠ na DDH Ostrava - Hrabůvka za 12/2023,16800,2023-12-18,2024-01-19,5169,FD2302953,
66003008,2023571,311391,"CENDIS, s.p.",dodání občerstvení pro členy zkušební komise a osoby zajišťující úřednické zkoušky konané dne 5.12.2023,594,2023-12-20,2024-01-22,5175,FD2302954,
66003008,2023572,311391,"CENDIS, s.p.",zajištění občerstvení na jednání Národní platformy C-ITS den 11.12.2023,600,2023-12-20,2024-01-19,5175,FD2302955,
66003008,2023573,311391,"CENDIS, s.p.",zajištění občerstvení na zasedání odborného poradního orgánu k hodnocení DKRVO CDV dne 15.12.2023,700,2023-12-20,2024-01-19,5175,FD2302956,
66003008,2023574,311391,"CENDIS, s.p.",zajištění občerstvení na zasedání KR-KA dne 18.12.2023,2500,2023-12-20,2024-01-24,5175,FD2302957,
66003008,2023575,311391,"CENDIS, s.p.",pohoštění na 'jednání BESIP a krajských koordinátorů BESIP' dne 14.12.2023,5503,2023-12-20,2024-01-19,5175,FD2302958,
66003008,2023576,311391,"CENDIS, s.p.","Podpora IFS2, 11/2023",23292.50,2023-12-21,2024-01-26,5168,FD2302959,
66003008,312023,1249053,PhDr. Mgr. Lucie Mitáčková,služby dopravního psychologa na akcích Besip 11-12/2023,19500,2023-12-20,2024-01-19,5169,FD2302963,
66003008,712023,70045399,Vlastimil Holešovský,Servis páternostorů 4.Q 2023,41949,2023-12-21,2024-01-19,5169,FD2302964,
66003008,312313014,47115068,Česká tisková kancelář,zpravodajský servis ČTK 12/2023,15521.88,2023-12-20,2024-01-19,5169,FD2302966,
66003008,20231203,70298742,PhDr. Robert Chytka,služby dopravního psychologa na akcích BESIP Moravskoslezský kraj 12/2023,21000,2023-12-22,2024-01-19,5169,FD2302967,
66003008,9907100856,45274649,"ČEZ, a.s.",poškození vozidla za dobu pronájmu,15000,2023-12-19,2024-01-18,5171,FD2302968,
66003008,20231202,17032393,Ing. Václav Florián,práce spojené s činností spisové a archivní služby a DDH 12/2023,22470,2023-12-23,2024-01-24,5169,FD2302972,
66003008,2023391022,27946576,"Správa městských sportovišť Kolín, a.s.",výuka dopravní výchovy na DDH Kolín za 12/2023,15300,2023-12-15,2024-01-26,5169,FD2302973,
66003008,5183147109,47114983,"Česká pošta, s.p.",Kvalifikované certifikáty,4785,2023-12-27,2024-01-10,5168,FD2302974,
66003008,2023578,311391,"CENDIS, s.p.",technická podpora Microsoft za 11/2023,190632.03,2023-12-29,2024-01-08,5168,FD2302975,
66003008,2023579,311391,"CENDIS, s.p.",Provoz systému ISUA za 11/2023,145200,2023-12-29,2024-02-06,5168,FD2302976,
66003008,2023580,311391,"CENDIS, s.p.",Provoz systému ISUA za 9/2023,145200,2023-12-29,2024-02-06,5168,FD2302977,
66003008,2023581,311391,"CENDIS, s.p.",Provoz systému ISUA za 10/2023,145200,2023-12-29,2024-02-06,5168,FD2302978,
66003008,1322307616,63073188,"Přerost a Švorc - auto, s.r.o.",diagnostika a oprava závady na služebním vozidle škoda Superb 5AE 9256,8782,2023-12-19,2024-02-01,5171,FD2302979,
66003008,1322307637,63073188,"Přerost a Švorc - auto, s.r.o.","servisní prohlídka včetně zajištění STK a měření emisí na služebním vozidle Škoda Superb, RZ: 5AE 9340",5165,2023-12-20,2024-02-01,5171,FD2302980,
66003008,1322307658,63073188,"Přerost a Švorc - auto, s.r.o.","servisní prohlídka včetně zajištění STK a měření emisí na služebním vozidle Škoda Superb, RZ: 5AF 5801",5129,2023-12-21,2024-02-01,5171,FD2302981,
66003008,2023582,311391,"CENDIS, s.p.",dodání občerstvení v období 12/2023,9877.67,2023-12-29,2024-01-26,5175,FD2302982,
66003008,120231859,26128233,RENTEL a.s.,pronájem e-learningových kurzů od 1. 1. 2023 do 31. 12.2023,23716,2023-12-31,2024-01-30,5042,FD2302983,
66003008,8105321625,63077639,"Wolters Kluwer ČR, a.s.",předplatné ASPI za 10-12/2023,147954,2023-12-29,2024-01-30,5042,FD2302984,
66003008,202312,88556956,Tereza Vykydalová,administrativni správa 12/2023,27120,2023-12-29,2024-02-01,5169,FD2302985,
66003008,230100044,6842844,Happy and wise s.r.o.,Překlad dopisů pana ministra z ČJ do AJ,605,2023-12-19,2024-02-01,5169,FD2302986,
66003008,230100045,6842844,Happy and wise s.r.o.,Překlad dopisu z ČJ do PL,605,2023-12-19,2024-02-01,5169,FD2302987,
66003008,122023,7910541,Radka Osterová,Provádění prevence v oblasti bezpečnosti silničního provozu a dopravní výchovy v Pardubickém kraji za 12/2023,54080,2023-12-31,2024-02-01,5169,FD2302988,
66003008,23010160,550264,Autoklub České republiky,Provádění prevence v oblasti bezpečnosti silničního provozu a dopravní výchovy v Hlavním městě Praze za 12/2023,32137.60,2023-12-31,2024-02-02,5169,FD2302989,
66003008,2235917,47471611,H. R. G. spol. s r.o.,zajištění tisku materiálu k železniční dopravě,8580,2023-12-29,2024-02-02,5139,FD2302990,
66003008,1230900241,29131901,RADIO UNITED BROADCASTING s.r.o.,Odvysílání informačních spotů za 12/2023,252353.54,2023-12-21,2024-01-26,5169,FD2302991,
66003008,5190689872,47114983,"Česká pošta, s.p.",poštovní služby,6881.47,2023-12-31,2024-01-22,5161,FD2302992,
66003008,202312,88717941,Miroslav Polách,Provádění prevence v oblasti bezpečnosti silničního provozu a dopravní výchovy ve Středočeském kraji za 12/2023,29480.85,2023-12-31,2024-02-02,5169,FD2302993,
66003008,20240557,61060631,"VITA software, s.r.o.",technická podpora software VITA + služby 9-12/2023,23838.21,2023-12-31,2024-02-02,5168,FD2302994,
66003008,15702,64948251,ALTRON a.s.,program SILVER 10-12/2023,138225.56,2023-12-31,2024-02-02,5169,FD2302995,
66003008,6231118,61057606,"Komwag, podnik čistoty a údržby města, a.s.",svoz a likvidace odpadu 12/2023,44669.60,2023-12-31,2024-02-02,5169,FD2302996,
